id_kab,id_prov,year,total_area (km2),hdi,total_landfills,solid_waste_generated
9110,91,2023,5461.69,61.29,1,686.2540000000001
1704,17,2022,2556.0,67.77,1,2168.2160000000003
8202,82,2022,2276.9,66.49,1,1026.7189999999998
7412,74,2022,705.71,66.69,1,618.873
7205,72,2023,5275.69,66.95,1,4974.071
1203,12,2023,4355.35,71.55,1,5497.782999999999
2105,21,2022,590.14,69.61,1,481.8
1373,13,2023,273.45,74.42,1,692.6
6111,61,2023,4568.26,64.79,1,2323.916
1705,17,2023,4128.0,68.27,1,3901.39
1871,18,2023,197.22,78.56,1,28705.83
6108,61,2023,29842.0,67.67,1,4906.33
5208,52,2022,809.53,65.7,1,3744.61
7402,74,2023,1858.1,70.16,1,3435.16
1809,18,2023,1173.77,67.67,1,8128.644
1276,12,2023,90.45,77.6,1,6263.697
1407,14,2022,7588.13,70.31,2,13261.38
3471,34,2022,32.5,87.69,1,11064.26
9104,91,2022,18658.0,65.27,1,1210.0210000000002
9108,91,2022,67379600.0,64.65,1,884.0539999999999
2101,21,2023,1524.0,73.51,1,7142.22
5312,53,2023,1735.64,69.14,1,2606.7470000000003
3209,32,2022,984.52,70.06,1,49610.119000000006
3504,35,2022,1055.65,74.06,1,20214.89
7105,71,2022,1456.69,72.89,1,3452.36
3208,32,2022,1110.56,70.16,1,21878.21
7307,73,2023,865.24,68.92,1,5295.4220000000005
1810,18,2022,625.0,70.98,1,5939.62
3513,35,2022,1696.17,66.96,1,16876.05
3578,35,2023,335.28,83.45,1,65701.66
1402,14,2022,8198.71,70.46,1,6617.32
1602,16,2023,19023.47,68.65,3,16417.754000000004
1902,19,2023,2293.69,74.02,1,2740.6
3212,32,2023,2099.42,69.25,2,38671.83499999999
6206,62,2022,3827.0,68.94,1,894.1480000000001
1206,12,2023,2022.0,76.38,2,3506.72
3328,33,2022,876.1,69.53,1,30646.62
3319,33,2023,425.2,76.71,1,16029.618000000002
6209,62,2022,20382.53,69.74,1,2753.9529999999995
9429,94,2023,12941.0,35.19,1,1846.222
1271,12,2022,10.77,74.74,1,1510.917
1312,13,2023,3887.77,70.19,1,6931.0380000000005
6205,62,2023,8300.0,71.84,1,2383.35
5309,53,2022,1748.52,64.93,1,3645.791
6301,63,2023,3631.35,70.98,1,5271.24
1301,13,2022,6033.76,62.19,1,1324.679
7406,74,2022,3293.97,66.81,1,2659.076
3573,35,2022,110.06,82.71,1,27914.84
7605,76,2022,3043.75,68.61,1,3171.581
3518,35,2023,1224.33,73.71,3,16308.68
1871,18,2022,197.22,78.01,1,28705.76
7305,73,2023,555.43,68.9,1,4833.427
9432,94,2023,4330.29,50.87,1,1411.3930000000005
3502,35,2023,1371.78,72.5,1,15240.238
6472,64,2023,716.96,82.32,1,21880.0
1101,11,2022,1838.09,67.27,1,1628.09
8102,81,2022,4676.0,66.88,1,2340.6490000000003
5203,52,2023,2679.88,68.41,1,19199.375
1603,16,2022,6763.91,69.43,1,8490.1
7110,71,2023,3497.46,66.4,1,1212.943
7411,74,2022,3992.53,68.73,1,2128.355
1501,15,2022,3807.0,71.99,1,4277.908
6209,62,2023,20382.53,70.28,1,2966.106
9415,94,2023,23746.0,53.19,1,1696.52
7505,75,2022,1703.63,66.01,1,2120.732
7301,73,2022,1160.36,68.35,1,2014.42
9415,94,2022,23746.0,52.22,1,1657.45
9410,94,2023,6526.25,57.91,1,2247.542
3217,32,2023,1287.41,69.61,1,37456.374
3517,35,2023,1159.5,74.6,1,19358.34
3312,33,2022,1941.28,71.04,1,12691.79
3527,35,2022,1233.0,63.39,2,16951.13
3314,33,2022,941.55,74.65,1,21541.74
7372,73,2023,89.67,79.03,1,2895.67
8206,82,2022,6488.73,67.93,1,1400.949
7405,74,2022,4237.74,69.36,1,4809.002
3173,31,2023,47.56,82.53,1,31124.28
1117,11,2022,1941.6,73.9,1,2408.47
6474,64,2023,161.88,81.56,1,3882.95
6304,63,2022,2996.46,67.37,2,3517.98
3272,32,2023,48.2,76.32,1,6730.83
7110,71,2022,1796.07,65.9,1,1055.35
1707,17,2022,1665.28,68.12,1,2940.98
3173,31,2022,47.56,82.11,1,31026.85
1906,19,2022,2506.91,72.29,1,1858.52
7107,71,2023,1856.0,68.64,1,1234.33
9103,91,2023,14953.8,61.67,1,683.9660000000001
6207,62,2023,6414.0,71.81,1,1461.779
1505,15,2023,5246.0,71.04,1,6276.493
9413,94,2023,27108.29,63.46,1,951.82
6172,61,2022,504.0,72.89,1,3429.79
1221,12,2023,3892.74,70.34,1,5280.248
3507,35,2022,3530.65,71.38,3,35061.41
9419,94,2023,18034.0,65.8,1,642.4889999999999
3205,32,2022,3074.07,67.41,1,40596.96
9109,91,2022,11529.18,54.63,1,657.6540000000001
5105,51,2022,315.0,72.55,3,3764.36
1271,12,2023,10.77,75.2,1,1614.164
6204,62,2023,8830.0,71.65,1,2443.97
5106,51,2022,520.81,70.26,1,4083.61
7317,73,2022,2902.07,71.36,1,5643.307999999999
1278,12,2022,469.4,70.23,1,2499.728
1703,17,2022,4424.6,69.77,1,6920.77
3202,32,2023,4145.7,68.49,1,40065.07299999999
6109,61,2023,5444.2,66.33,1,3807.524
1505,15,2022,5246.0,70.18,1,6408.544
1606,16,2022,14265.96,68.6,8,9414.55
3376,33,2022,39.68,76.15,1,7936.6
2171,21,2022,3868.97,81.67,1,41346.16
3525,35,2023,1256.76,77.98,1,14423.83
3213,32,2022,1893.95,69.87,1,28217.913
1403,14,2023,12614.78,67.98,2,9655.163
7204,72,2022,7545.93,71.93,1,4939.279
2103,21,2022,2009.04,73.47,1,1247.51
5316,53,2022,1789.66,62.71,1,1179.181
3514,35,2022,1474.02,69.68,1,26284.262
7407,74,2023,450.46,71.43,1,2060.81
9434,94,2022,4237.4,55.72,1,1981.3869999999995
1771,17,2022,151.7,80.99,1,7995.856000000002
1225,12,2022,520.34,62.93,1,1457.876
6405,64,2022,34127.17,75.74,2,4980.19
5313,53,2022,1343.83,65.83,1,3194.707
7303,73,2022,390.97,69.69,1,2956.24
6301,63,2022,3631.35,70.35,1,5180.74
9426,94,2023,22004.87,66.46,1,669.452
3313,33,2022,774.0,76.58,1,13706.6
7415,74,2023,517.63,66.15,1,1301.2279999999998
5171,51,2023,127.78,84.73,1,35798.47
1171,11,2022,59.02,86.28,2,9205.59
5321,53,2023,1109.16,62.06,1,3183.796
7315,73,2023,1896.58,72.84,1,6523.280000000001
2104,21,2022,2117.72,66.57,1,1037.66
1613,16,2022,6008.55,65.74,1,3500.2650000000003
3312,33,2023,1941.28,71.97,1,12799.9
7407,74,2022,450.46,70.85,1,2945.56
1702,17,2022,1515.76,71.45,1,4884.865000000001
3325,33,2022,788.6,69.45,1,20705.54
1806,18,2023,2529.54,68.95,1,9546.576
1809,18,2022,1173.77,66.7,1,8068.964999999999
1501,15,2023,3807.0,72.54,1,4396.394
6208,62,2023,16404.0,68.68,2,3030.81
1305,13,2022,1336.0,73.29,1,4705.73
7101,71,2022,3269.3,68.95,1,4571.22
1503,15,2023,6174.0,71.29,2,5354.62
3401,34,2023,586.3,75.79,1,8003.39
1115,11,2022,3544.9,70.1,1,2531.54
3603,36,2022,959.61,72.97,1,84149.77
3374,33,2023,373.7,84.43,1,43153.47
3275,32,2022,206.61,82.46,1,66817.9
6105,61,2023,12857.7,67.77,6,9122.54
1611,16,2023,2256.0,66.68,1,4070.3180000000007
5303,53,2023,5136.51,65.82,1,5085.2970000000005
3512,35,2023,1638.5,69.16,1,9213.08
1674,16,2023,401.5,76.19,1,4288.361
3326,33,2022,836.13,70.81,1,14256.96
6404,64,2022,35747.5,74.35,2,7767.44
5171,51,2022,127.78,84.37,1,31631.27
1219,12,2022,904.96,69.51,1,7025.223000000001
9413,94,2022,27108.29,62.52,1,951.82
7210,72,2022,5225.44,69.05,1,4700.84
5309,53,2023,1748.52,65.79,1,4143.215
3318,33,2023,1503.68,73.59,1,25109.26
7325,73,2023,6745.92,74.35,4,4460.61
2101,21,2022,1524.0,72.65,1,6800.82
7411,74,2023,3992.53,69.57,1,2065.19
1801,18,2022,3368.14,68.39,1,4511.963000000001
7404,74,2023,2958.92,74.72,1,4607.618
1174,11,2023,181.06,78.92,1,3621.616
7310,73,2022,1201.9,71.53,1,2781.72
7603,76,2022,3005.88,67.21,1,2411.154
5301,53,2023,757.41,65.22,1,2316.715
1209,12,2023,4372.5,74.29,1,18644.47
1408,14,2022,514.0,74.38,4,10109.763
1612,16,2023,1840.0,66.64,1,3478.6380000000004
6202,62,2023,16796.0,72.21,1,8685.86
3404,34,2022,574.82,84.31,1,21780.73
1706,17,2022,4147.0,69.12,1,2789.9259999999995
7605,76,2023,2903.18,69.11,1,3168.388
9418,94,2022,14263.0,50.51,1,4686.3150000000005
9171,91,2023,1105.0,79.65,1,6240.733
1217,12,2022,1444.25,71.67,1,2013.909
1375,13,2022,25.24,81.42,1,4570.75
8172,81,2023,352.66,69.43,1,1416.6849999999995
1204,12,2023,2194.98,70.91,1,5620.717000000001
1102,11,2023,1857.88,70.14,1,1909.49
3274,32,2022,37.36,75.89,1,6393.024
1671,16,2023,352.52,80.02,1,43974.78400000001
7201,72,2023,2488.79,66.82,1,2220.73
3673,36,2023,266.74,73.48,1,21950.3
1107,11,2023,2927.95,72.88,1,3681.37
5271,52,2023,61.3,80.09,1,9916.58
3318,33,2022,1503.68,73.14,1,24622.39
1302,13,2023,1938.79,71.44,1,5655.87
1611,16,2022,2256.0,66.0,1,4897.777
3672,36,2023,162.51,74.54,1,10177.28
7205,72,2022,5126.59,66.25,1,4423.29
6110,61,2022,10640.8,66.81,1,3847.129
1113,11,2022,5549.91,68.25,1,1498.6
3273,32,2023,167.31,83.04,1,63559.97400000001
3524,35,2023,1752.21,74.53,1,19882.361
5206,52,2023,4389.0,68.28,1,9723.016
3375,33,2022,45.25,75.9,1,6425.877
1214,12,2022,2487.99,63.17,1,5006.754000000001
7415,74,2022,517.63,65.44,1,802.67
6571,65,2022,251.0,76.68,1,5323.15
1106,11,2023,4527.53,74.6,1,4377.469999999999
1108,11,2022,2903.5,74.0,1,5456.835999999999
3516,35,2022,692.15,74.89,2,16832.26
7309,73,2023,888.91,70.59,1,6600.373
5308,53,2023,1268.11,66.12,1,2340.253
3205,32,2023,3065.19,68.11,1,40946.54
6112,61,2022,6985.2,68.91,4,11326.830999999998
5101,51,2023,841.8,74.04,1,5976.53
2172,21,2022,144.56,79.64,1,5690.54
1813,18,2023,2953.0,66.0,1,2406.31
1275,12,2022,265.1,81.76,1,62874.92
6404,64,2023,35747.5,74.98,1,7499.310999999999
7372,73,2022,89.67,78.54,1,2838.9
3504,35,2023,1055.65,74.61,1,20402.88
1702,17,2023,1515.76,72.31,1,5520.88
3315,33,2022,2022.25,70.97,1,31002.18
1504,15,2022,4179.7,70.51,1,5667.248
3171,31,2022,144.94,85.21,1,71330.09
1277,12,2022,159.3,76.05,1,5906.6
1107,11,2022,2927.95,72.34,1,3702.16
1223,12,2022,3545.8,72.77,1,5940.699
1207,12,2023,2561.38,73.69,1,6873.885
5208,52,2023,809.53,66.62,1,3494.6040000000003
7373,73,2022,273.24,78.91,1,3418.79
6310,63,2022,4871.39,71.79,3,6074.35
6303,63,2023,4668.5,71.46,1,13233.53
1805,18,2022,4546.0,70.8,1,29456.568000000007
3507,35,2023,3530.65,72.16,3,35292.73
3575,35,2023,39.0,77.17,1,5383.02
5303,53,2022,5136.51,65.04,1,5085.2970000000005
3218,32,2023,1010.0,69.38,1,6896.652
1801,18,2023,3368.14,69.11,1,4174.220000000001
1604,16,2023,4344.87,69.1,1,9805.33
1708,17,2023,665.0,69.6,1,2462.0999999999995
9429,94,2022,12941.0,34.1,1,1946.614
3572,35,2023,32.58,80.63,1,2966.0850000000005
7314,73,2023,1832.3,72.71,1,4780.27
1812,18,2023,1201.15,67.81,1,4228.45
8108,81,2022,8633.15,63.07,1,1002.26
7502,75,2022,2160.36,68.28,1,5776.27
3604,36,2023,1734.28,68.39,1,42896.28
7504,75,2023,1889.0,71.51,1,2398.021
1116,11,2022,3727.0,70.36,2,1723.13
3502,35,2022,1371.78,71.87,1,13955.26
5105,51,2023,315.0,73.11,1,3466.9980000000005
3278,32,2023,183.8,74.47,1,11795.52
7313,73,2023,2608.71,71.1,1,6015.302000000001
8205,82,2022,3891.62,68.38,1,5049.7
6111,61,2022,4568.26,63.81,1,2323.916
8103,81,2023,2759.07,72.45,1,6194.682
7371,73,2022,176.85,83.12,1,36592.43
3306,33,2022,1034.84,73.6,1,10569.42
3304,33,2023,1069.71,69.14,1,14696.198
7172,71,2022,329.72,74.7,1,5805.52
3522,35,2022,2307.06,70.12,2,13727.14
8171,81,2023,377.0,82.06,1,9006.12
8204,82,2022,8096.4,65.06,1,4759.935
1212,12,2023,2498.0,76.52,1,39551.013
1609,16,2022,4369.25,70.23,2,10298.17
7207,72,2022,3723.58,68.72,1,2559.978
7312,73,2023,1385.55,70.58,1,3446.32
3506,35,2023,1386.05,73.96,1,24177.89
1302,13,2022,1938.79,70.84,1,5580.32
3171,31,2023,144.94,86.07,1,71946.38
3206,32,2022,2551.19,66.84,1,36474.126
1506,15,2023,5426.0,66.65,1,4579.181
9402,94,2022,7030.66,59.6,1,4803.233
6110,61,2023,10640.8,67.76,1,3861.681
6104,61,2023,2797.88,67.92,1,3076.93
5321,53,2022,1109.16,61.34,1,2709.7609999999995
3322,33,2023,950.21,75.13,1,19460.19
6306,63,2023,1804.94,70.5,1,3689.878
1103,11,2023,4173.82,68.44,1,3532.35
3510,35,2022,5782.5,71.94,1,29707.85
5102,51,2022,839.33,76.75,1,7826.5
1603,16,2023,6763.91,70.24,4,8497.14
7173,71,2023,147.2,78.1,1,1874.71
3571,35,2023,63.4,80.44,1,6346.19
1218,12,2022,1900.22,71.21,1,8878.51
1311,13,2023,2961.0,73.04,1,4141.408
7571,75,2023,70.93,78.64,1,2589.89
3510,35,2023,5782.5,72.61,1,30531.29
3310,33,2022,655.56,76.95,1,23470.34
3375,33,2023,45.25,76.71,1,6389.5470000000005
6213,62,2022,23700.16,68.63,1,2033.98
8271,82,2023,162.2,81.35,1,4244.017999999999
1473,14,2023,1727.0,75.66,1,6210.66
7174,71,2022,108.89,73.96,1,3146.38
1402,14,2023,8198.71,71.04,2,6670.535999999998
