id,id_kab,city_or_regency,year,total_area (km2),population,densities,traffic_density,green_open_space,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated,latitude,longitude,cluster,happiness_score
11012022,1101,436.0,2022.0,1838.09,94876.0,51.62,1.0,0.12,67.27,2688.0,1.0,1628.09,2.61667,96.08333,2.0,72.37
11032022,1103,4.0,2022.0,4173.82,237376.0,56.87,1.0,1.645,67.87,6447.0,1.0,3521.77,3.16667,97.41667,2.0,72.54
11042022,1104,8.0,2022.0,4242.04,228308.0,53.82,1.0,1.0739999999999998,70.32,5829.0,1.0,3333.3,3.36667,97.7,2.0,72.38
11062022,1106,7.0,2022.0,4527.53,222673.0,49.18,1.0,1.11,73.95,8873.0,1.0,4216.737,4.51,96.855,2.0,71.38
11072022,1107,0.0,2022.0,2927.95,202858.0,69.28,1.0,0.01,72.34,12730.0,1.0,3702.16,4.45,96.16667,2.0,72.36
11082022,1108,2.0,2022.0,2903.5,414490.0,142.76,1.0,102.32499999999997,74.0,15457.0,1.8,5411.437,5.38333,95.51667,2.0,72.91
11102022,1110,56.0,2022.0,1798.0,443874.0,246.87,1.0,0.0,73.16,15470.0,1.3,6966.859999999999,5.08333,96.58333,2.0,73.03
11112022,1111,9.0,2022.0,3296.86,614640.0,186.43,1.0,0.05,70.22,28310.0,1.9,11845.132,4.97,97.14,2.0,70.79
11122022,1112,1.0,2022.0,1882.05,155046.0,82.38,1.0,0.71,67.41,4546.0,1.0,2834.81,3.83333,96.88333,2.0,71.79
11132022,1113,196.0,2022.0,5549.91,103131.0,18.58,1.0,79.65,68.25,3077.0,1.0,1498.6,3.95,97.39,2.0,71.92
11142022,1114,6.0,2022.0,1957.02,301492.0,154.06,1.0,0.04,70.43,10433.0,1.0,4406.28,4.25,97.96667,2.0,72.63
11152022,1115,348.0,2022.0,3544.9,173393.0,48.91,1.0,11.061,70.1,10635.0,1.0,2531.54,4.16667,96.51667,2.0,76.15
11162022,1116,3.0,2022.0,3727.0,96028.0,25.77,1.0,0.82,70.36,3122.0,2.0,1723.13,4.86,95.64,2.0,72.21
11172022,1117,46.0,2022.0,1941.6,168690.0,86.88,1.0,0.0,73.9,5476.0,1.0,2408.47,4.73015,96.86156,2.0,74.78
11712022,1171,88.0,2022.0,59.02,257635.0,4365.22,2.0,8.43,86.28,21561.0,2.0,9205.59,5.54167,95.33333,2.0,73.76
11722022,1172,155.0,2022.0,122.13,43208.0,353.79,1.0,36.523999999999994,76.85,1643.0,1.0,630.84,5.82164,95.31086,2.0,70.92
11732022,1173,124.0,2022.0,239.83,192630.0,803.19,1.0,75.13,77.82,6263.0,1.0,3447.02,4.47,97.93,2.0,72.96
11742022,1174,125.0,2022.0,181.0,191396.0,1057.44,1.0,37.519999999999996,78.04,10278.0,1.3,3581.4199999999996,5.13333,97.06667,2.0,70.69
12012022,1201,355.0,2022.0,853.44,149249.0,174.88,1.0,15.619,63.69,4536.0,1.0,2127.24,1.03333,97.76667,2.0,71.09
12022022,1202,316.0,2022.0,6620.7,484874.0,73.24,1.0,662.9479999999999,68.05,16404.0,2.1,7885.406,0.78378,99.25495,2.0,71.33
12032022,1203,469.0,2022.0,4355.35,307312.0,70.56,1.0,3300.75,70.92,17052.0,1.0,5192.324,1.51667,99.25,2.0,71.41
12042022,1204,470.0,2022.0,2194.98,374734.0,170.72,1.0,0.0,70.31,11635.0,1.0,6739.73,1.9,98.66667,2.0,71.12
12062022,1206,481.0,2022.0,2022.0,212133.0,104.91,1.0,821.7719999999999,75.96,8944.0,2.0,3505.9,2.39793,99.21678,2.0,71.35
12072022,1207,271.0,2022.0,2561.38,508024.0,198.34,1.0,73.871,72.92,41809.0,1.0,6907.704,2.26667,100.1,2.0,71.09
12092022,1209,435.0,2022.0,4372.5,1021615.0,233.65,1.0,55.75699999999999,73.77,47286.0,1.0,18644.47,2.9,99.0,2.0,69.83
12102022,1210,183.0,2022.0,1927.8,315460.0,163.64,1.0,74.187,72.56,10717.0,1.1,4517.064,2.86667,98.23333,2.0,70.68
