id_kab,id_prov,year,total_area (km2),population,densities,traffic_density,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated,happiness_score
1101,11,2022,1838.09,94876.0,51.62,0,67.27,2688.0,1,1628.09,72.37
1103,11,2022,4173.82,237376.0,56.87,0,67.87,6447.0,1,3521.77,72.54
1104,11,2022,4242.04,228308.0,53.82,0,70.32,5829.0,1,3333.3,72.38
1106,11,2022,4527.53,222673.0,49.18,0,73.95,8873.0,1,4268.895,71.38
1107,11,2022,2927.95,202858.0,69.28,0,72.34,12730.0,1,3702.16,72.36
1108,11,2022,2903.5,414490.0,142.76,0,74.0,15457.0,1,5596.518000000001,72.91
1110,11,2022,1798.0,443874.0,246.87,0,73.16,15470.0,1,5629.134,73.03
1111,11,2022,3296.86,614640.0,186.43,0,70.22,28310.0,1,11236.336,70.79
1112,11,2022,1882.05,155046.0,82.38,0,67.41,4546.0,1,2834.81,71.79
1113,11,2022,5549.91,103131.0,18.58,0,68.25,3077.0,1,1498.6,71.92
1114,11,2022,1957.02,301492.0,154.06,0,70.43,10433.0,1,4406.28,72.63
1115,11,2022,3544.9,173393.0,48.91,0,70.1,10635.0,1,2531.54,76.15
1116,11,2022,3727.0,96028.0,25.77,0,70.36,3122.0,2,1723.13,72.21
1117,11,2022,1941.6,168690.0,86.88,0,73.9,5476.0,1,2408.47,74.78
1172,11,2022,122.13,43208.0,353.79,0,76.85,1643.0,1,630.84,70.92
1173,11,2022,239.83,192630.0,803.19,0,77.82,6263.0,1,3447.02,72.96
1174,11,2022,181.0,191396.0,1057.44,0,78.04,10278.0,1,3935.477,70.69
1201,12,2022,853.44,149249.0,174.88,0,63.69,4536.0,1,2127.24,71.09
1202,12,2022,6620.7,484874.0,73.24,0,68.05,16404.0,3,6736.727000000001,71.33
1203,12,2022,4355.35,307312.0,70.56,0,70.92,17052.0,1,5531.378,71.41
1204,12,2022,2194.98,374734.0,170.72,0,70.31,11635.0,1,6739.73,71.12
1206,12,2022,2022.0,212133.0,104.91,0,75.96,8944.0,2,3505.9,71.35
1207,12,2022,2561.38,508024.0,198.34,0,72.92,41809.0,1,7520.466,71.09
1209,12,2022,4372.5,1021615.0,233.65,0,73.77,47286.0,1,18644.47,69.83
1210,12,2022,1927.8,315460.0,163.64,0,72.56,10717.0,1,3940.523,70.68
1213,12,2022,6273.29,1039926.0,165.77,0,71.86,51413.0,4,19032.38,71.1
1214,12,2022,2487.99,373674.0,150.19,0,63.17,8015.0,1,5501.639,71.01
1215,12,2022,2297.2,202299.0,88.06,0,70.32,6919.0,1,2165.37,70.04
1217,12,2022,1444.25,139337.0,96.48,0,71.67,5166.0,1,2379.6670000000004,70.82
1218,12,2022,1900.22,667998.0,351.54,0,71.21,33518.0,1,11536.382,70.89
1219,12,2022,904.96,416367.0,460.09,0,69.51,40867.0,1,6828.630999999999,71.03
1220,12,2022,3945.56,267275.0,67.74,0,70.93,14375.0,1,5340.204,71.24
1223,12,2022,3545.8,390954.0,110.26,0,72.77,30282.0,1,6498.973999999998,71.18
1225,12,2022,520.34,91346.0,175.55,0,62.93,2173.0,1,1339.935,70.88
1271,12,2022,10.77,90366.0,8390.53,1,74.74,6340.0,1,1512.8560000000002,70.96
1272,12,2022,60.52,179748.0,2970.06,1,69.86,10466.0,1,3225.28,71.13
1274,12,2022,38.96,177785.0,4563.27,1,76.17,6931.0,1,4548.82,70.9
1277,12,2022,159.3,231062.0,1450.48,0,76.05,7385.0,1,5906.6,71.19
1278,12,2022,469.4,137583.0,293.1,0,70.23,6477.0,1,2475.789,70.94
1301,13,2022,6033.76,89401.0,14.82,0,62.19,5446.0,1,1299.7099999999998,71.07
1302,13,2022,1938.79,516518.0,266.41,0,70.84,16606.0,1,5580.32,71.26
1303,13,2022,3738.0,397829.0,106.43,0,70.02,15781.0,1,5755.86,71.24
1304,13,2022,3130.8,240317.0,76.76,0,68.69,10669.0,1,3551.39,69.86
1305,13,2022,1336.0,376276.0,281.64,0,73.29,15059.0,1,4705.73,72.1
1306,13,2022,1343.09,436129.0,324.72,0,71.63,22193.0,1,7959.35,71.05
1308,13,2022,3354.0,388375.0,115.79,0,70.28,17901.0,1,5595.48,71.14
1309,13,2022,3947.63,307425.0,77.88,0,67.41,10391.0,1,4425.3,70.82
1311,13,2022,2961.0,234713.0,79.27,0,72.3,12233.0,1,3783.11,70.99
1312,13,2022,3887.77,442479.0,113.81,0,69.57,17876.0,1,6387.68,70.84
1371,13,2022,694.96,919145.0,1322.59,0,83.29,72979.0,1,23497.31,71.36
1373,13,2022,273.5,66413.0,242.83,0,73.73,4390.0,1,688.26,70.85
1374,13,2022,23.0,57850.0,2515.22,1,78.78,4087.0,1,1786.51,71.23
1375,13,2022,25.24,122311.0,4845.92,1,81.42,10194.0,1,4570.75,71.25
1377,13,2022,73.36,96719.0,1318.42,0,77.65,5882.0,1,1396.34,71.28
1401,14,2022,7656.03,345850.0,45.17,0,71.09,44910.0,1,5080.06,68.69
1402,14,2022,8198.71,464076.0,56.6,0,70.46,54185.0,1,6617.32,71.9
1403,14,2022,12614.78,660747.0,52.38,0,67.37,83164.0,6,9692.371,72.43
1405,14,2022,8556.09,477550.0,55.81,0,74.5,106995.0,4,6813.57,73.78
1406,14,2022,11289.28,878210.0,77.79,0,73.84,103550.0,4,17626.904000000002,70.76
1407,14,2022,7588.13,582679.0,76.79,0,70.31,49614.0,2,13261.38,71.7
1408,14,2022,514.0,582973.0,1134.19,0,74.38,175972.0,4,10500.372999999998,73.92
1410,14,2022,3708.0,213532.0,57.59,0,66.52,24896.0,1,4285.306999999999,72.8
1471,14,2022,632.3,1007540.0,1593.45,0,82.06,144559.0,1,35650.33,71.42
1473,14,2022,1727.0,331832.0,192.14,0,75.26,45053.0,1,6055.93,72.44
1501,15,2022,3807.0,253900.0,66.69,0,71.99,12226.0,1,4485.829,76.11
1504,15,2022,4179.7,313200.0,74.93,0,70.51,24304.0,1,5686.882,75.15
1505,15,2022,5246.0,412800.0,78.69,0,70.18,32958.0,1,6878.464999999999,75.9
1506,15,2022,5426.0,234200.0,43.16,0,65.77,25606.0,1,4897.125,77.35
1508,15,2022,6461.0,344800.0,53.37,0,69.78,19698.0,1,5589.261,76.25
1571,15,2022,175.53,619600.0,3529.88,1,79.58,36184.0,1,15968.8,78.98
1572,15,2022,391.5,99200.0,253.38,0,76.17,8679.0,1,1829.54,74.61
1602,16,2022,19023.47,776690.0,40.83,0,68.02,34239.0,5,13276.505,70.92
1603,16,2022,6763.91,624019.0,92.26,0,69.43,113577.0,1,8490.1,71.47
1604,16,2022,4344.87,441174.0,101.54,0,68.4,27834.0,1,9840.69,72.43
1607,16,2022,11875.0,852576.0,71.8,0,67.93,34443.0,2,21123.59,75.27
1609,16,2022,4369.25,656857.0,150.34,0,70.23,17833.0,2,10298.17,71.69
1610,16,2022,2382.0,422907.0,177.54,0,67.96,13251.0,1,6200.059000000001,70.74
1611,16,2022,2256.0,357673.0,158.54,0,66.0,5838.0,1,4992.517,75.74
1612,16,2022,1840.0,200368.0,108.9,0,65.75,8195.0,1,3731.63,73.4
1613,16,2022,6008.55,192369.0,32.02,0,65.74,8549.0,1,2976.693,72.52
1671,16,2022,352.5,1707996.0,4845.38,1,79.47,179107.0,1,43981.57,70.97
1672,16,2022,434.46,199047.0,458.15,0,75.52,9208.0,1,3591.82,72.37
1673,16,2022,633.66,147071.0,232.1,0,69.6,3256.0,1,2564.754,74.2
1674,16,2022,401.5,240238.0,598.35,0,75.53,7688.0,1,3933.717,71.99
