id,id_kab,id_prov,city_or_regency,year,total_area (km2),population,densities,traffic_density,green_open_space,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated,happiness_score
11012022,1101,11,Simeulue,2022,1838.09,94876.0,51.62,Low,0.12,67.27,2688.0,1.0,1628.09,72.37
11032022,1103,11,Aceh Selatan,2022,4173.82,237376.0,56.87,Low,,67.87,6447.0,1.0,3521.77,72.54
11042022,1104,11,Aceh Tenggara,2022,4242.04,228308.0,53.82,Low,,70.32,5829.0,1.0,3333.3,72.38
11062022,1106,11,Aceh Tengah,2022,4527.53,222673.0,49.18,Low,1.11,73.95,8873.0,1.0,,71.38
11072022,1107,11,Aceh Barat,2022,2927.95,202858.0,69.28,Low,0.01,72.34,12730.0,1.0,3702.16,72.36
11082022,1108,11,Aceh Besar,2022,2903.5,414490.0,142.76,Low,,74.0,15457.0,,,72.91
11102022,1110,11,Bireuen,2022,1798.0,443874.0,246.87,Low,0.0,73.16,15470.0,,,73.03
11112022,1111,11,Aceh Utara,2022,3296.86,614640.0,186.43,Low,0.05,70.22,28310.0,,,70.79
11122022,1112,11,Aceh Barat Daya,2022,1882.05,155046.0,82.38,Low,0.71,67.41,4546.0,1.0,2834.81,71.79
11132022,1113,11,Gayo Lues,2022,5549.91,103131.0,18.58,Low,79.65,68.25,3077.0,1.0,1498.6,71.92
11142022,1114,11,Aceh Tamiang,2022,1957.02,301492.0,154.06,Low,0.04,70.43,10433.0,1.0,4406.28,72.63
11152022,1115,11,Nagan Raya,2022,3544.9,173393.0,48.91,Low,,70.1,10635.0,1.0,2531.54,76.15
11162022,1116,11,Aceh Jaya,2022,3727.0,96028.0,25.77,Low,0.82,70.36,3122.0,2.0,1723.13,72.21
11172022,1117,11,Bener Meriah,2022,1941.6,168690.0,86.88,Low,0.0,73.9,5476.0,1.0,2408.47,74.78
11712022,1171,11,City of Banda Aceh,2022,59.02,257635.0,4365.22,Medium,8.43,86.28,21561.0,2.0,9205.59,73.76
11722022,1172,11,City of Sabang,2022,122.13,43208.0,353.79,Low,,76.85,1643.0,1.0,630.84,70.92
11732022,1173,11,City of Langsa,2022,239.83,192630.0,803.19,Low,75.13,77.82,6263.0,1.0,3447.02,72.96
11742022,1174,11,City of Lhokseumawe,2022,181.0,191396.0,1057.44,Low,,78.04,10278.0,,,70.69
12012022,1201,12,Nias,2022,853.44,149249.0,174.88,Low,,63.69,4536.0,1.0,2127.24,71.09
12022022,1202,12,Mandailing Natal,2022,6620.7,484874.0,73.24,Low,,68.05,16404.0,,,71.33
12032022,1203,12,Tapanuli Selatan,2022,4355.35,307312.0,70.56,Low,3300.75,70.92,17052.0,1.0,,71.41
12042022,1204,12,Tapanuli Tengah,2022,2194.98,374734.0,170.72,Low,0.0,70.31,11635.0,1.0,6739.73,71.12
12062022,1206,12,Toba Samosir,2022,2022.0,212133.0,104.91,Low,,75.96,8944.0,2.0,3505.9,71.35
12072022,1207,12,Labuhan Batu,2022,2561.38,508024.0,198.34,Low,,72.92,41809.0,,,71.09
12092022,1209,12,Simalungun,2022,4372.5,1021615.0,233.65,Low,,73.77,47286.0,1.0,18644.47,69.83
12102022,1210,12,Dairi,2022,1927.8,315460.0,163.64,Low,,72.56,10717.0,,,70.68
12132022,1213,12,Langkat,2022,6273.29,1039926.0,165.77,Low,,71.86,51413.0,4.0,19032.38,71.1
12142022,1214,12,Nias Selatan,2022,2487.99,373674.0,150.19,Low,,63.17,8015.0,,,71.01
12152022,1215,12,Humbang Hasundutan,2022,2297.2,202299.0,88.06,Low,,70.32,6919.0,1.0,2165.37,70.04
12172022,1217,12,Samosir,2022,1444.25,139337.0,96.48,Low,,71.67,5166.0,,,70.82
12182022,1218,12,Serdang Bedagai,2022,1900.22,667998.0,351.54,Low,,71.21,33518.0,,,70.89
12192022,1219,12,Batu Bara,2022,904.96,416367.0,460.09,Low,,69.51,40867.0,,,71.03
12202022,1220,12,Padang Lawas Utara,2022,3945.56,267275.0,67.74,Low,,70.93,14375.0,,,71.24
12232022,1223,12,Labuhan Batu Utara,2022,3545.8,390954.0,110.26,Low,,72.77,30282.0,,,71.18
12252022,1225,12,Nias Barat,2022,520.34,91346.0,175.55,Low,,62.93,2173.0,,,70.88
12712022,1271,12,City of Sibolga,2022,10.77,90366.0,8390.53,Medium,0.01,74.74,6340.0,,,70.96
12722022,1272,12,City of Tanjung Balai,2022,60.52,179748.0,2970.06,Medium,0.04,69.86,10466.0,,,71.13
12742022,1274,12,City of Tebing Tinggi,2022,38.96,177785.0,4563.27,Medium,4.76,76.17,6931.0,1.0,4548.82,70.9
12752022,1275,12,City of Medan,2022,265.1,2494512.0,9409.7,Medium,26.51,81.76,280159.0,1.0,62874.92,70.91
12772022,1277,12,City of Padangsidimpuan,2022,159.3,231062.0,1450.48,Low,,76.05,7385.0,1.0,5906.6,71.19
12782022,1278,12,City of Gunungsitoli,2022,469.4,137583.0,293.1,Low,,70.23,6477.0,,,70.94
13012022,1301,13,Kepulauan Mentawai,2022,6033.76,89401.0,14.82,Low,,62.19,5446.0,,,71.07
13022022,1302,13,Pesisir Selatan,2022,1938.79,516518.0,266.41,Low,600.19,70.84,16606.0,1.0,5580.32,71.26
13032022,1303,13,Solok,2022,3738.0,397829.0,106.43,Low,0.39,70.02,15781.0,1.0,5755.86,71.24
13042022,1304,13,Sijunjung,2022,3130.8,240317.0,76.76,Low,0.04,68.69,10669.0,1.0,3551.39,69.86
13052022,1305,13,Tanah Datar,2022,1336.0,376276.0,281.64,Low,0.12,73.29,15059.0,1.0,4705.73,72.1
13062022,1306,13,Padang Pariaman,2022,1343.09,436129.0,324.72,Low,0.0,71.63,22193.0,1.0,7959.35,71.05
13082022,1308,13,Lima Puluh Kota,2022,3354.0,388375.0,115.79,Low,0.23,70.28,17901.0,1.0,5595.48,71.14
13092022,1309,13,Pasaman,2022,3947.63,307425.0,77.88,Low,7.98,67.41,10391.0,1.0,4425.3,70.82
13112022,1311,13,Dharmasraya,2022,2961.0,234713.0,79.27,Low,0.02,72.3,12233.0,1.0,3783.11,70.99
13122022,1312,13,Pasaman Barat,2022,3887.77,442479.0,113.81,Low,0.11,69.57,17876.0,1.0,6387.68,70.84
13712022,1371,13,City of Padang,2022,694.96,919145.0,1322.59,Low,142.27,83.29,72979.0,1.0,23497.31,71.36
13732022,1373,13,City of Sawah Lunto,2022,273.5,66413.0,242.83,Low,0.34,73.73,4390.0,1.0,688.26,70.85
13742022,1374,13,City of Padang Panjang,2022,23.0,57850.0,2515.22,Medium,1.34,78.78,4087.0,1.0,1786.51,71.23
13752022,1375,13,City of Bukittinggi,2022,25.24,122311.0,4845.92,Medium,1.29,81.42,10194.0,1.0,4570.75,71.25
13772022,1377,13,City of Pariaman,2022,73.36,96719.0,1318.42,Low,0.54,77.65,5882.0,1.0,1396.34,71.28
14012022,1401,14,Kuantan Singingi,2022,7656.03,345850.0,45.17,Low,624.39,71.09,44910.0,1.0,5080.06,68.69
14022022,1402,14,Indragiri Hulu,2022,8198.71,464076.0,56.6,Low,,70.46,54185.0,1.0,6617.32,71.9
14032022,1403,14,Indragiri Hilir,2022,12614.78,660747.0,52.38,Low,0.02,67.37,83164.0,,,72.43
14052022,1405,14,Siak,2022,8556.09,477550.0,55.81,Low,1.41,74.5,106995.0,4.0,6813.57,73.78
14062022,1406,14,Kampar,2022,11289.28,878210.0,77.79,Low,,73.84,103550.0,,,70.76
14072022,1407,14,Rokan Hulu,2022,7588.13,582679.0,76.79,Low,0.4,70.31,49614.0,2.0,13261.38,71.7
14082022,1408,14,Bengkalis,2022,514.0,582973.0,1134.19,Low,0.56,74.38,175972.0,4.0,,73.92
14102022,1410,14,Kepulauan Meranti,2022,3708.0,213532.0,57.59,Low,0.01,66.52,24896.0,,,72.8
14712022,1471,14,City of Pekanbaru,2022,632.3,1007540.0,1593.45,Low,68.06,82.06,144559.0,1.0,35650.33,71.42
14732022,1473,14,City of Dumai,2022,1727.0,331832.0,192.14,Low,0.26,75.26,45053.0,1.0,6055.93,72.44
15012022,1501,15,Kerinci,2022,3807.0,253900.0,66.69,Low,,71.99,12226.0,,,76.11
15042022,1504,15,Batang Hari,2022,4179.7,313200.0,74.93,Low,0.12,70.51,24304.0,,,75.15
15052022,1505,15,Muaro Jambi,2022,5246.0,412800.0,78.69,Low,,70.18,32958.0,,,75.9
15062022,1506,15,Tanjung Jabung Timur,2022,5426.0,234200.0,43.16,Low,,65.77,25606.0,,,77.35
