id_kab,id_prov,year,population,densities,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated,sqrt(hdi)*log(id_kab),population/gross_regional_domestic_product,hdi**3/gross_regional_domestic_product,hdi**3*id_prov**2,gross_regional_domestic_product/solid_waste_generated,happiness_score,pca1,pca2,pca3
7505,75,2023,128970,75.7,66.61,4145.0,1.0,2199.263,72.82766993493317,31.1145958986731,71.30069548395657,1662420278.143125,1.8847222910584136,76.1,-1.4882336366134565,0.84906656981078,0.6857994766833548
8103,81,2022,427050,154.78,71.81,9986.0,1.0,6201.06,76.26661531797245,42.76487081914681,37.08200588233528,2429544275.371701,1.6103698399950974,76.56,-0.9438482520089905,1.4212632774818574,1.3853890580722974
7103,71,2023,137829,188.3,72.22,5655.0,1.0,2076.336,75.36466480892474,24.372944297082228,66.61006278479222,1898843401.346968,2.723547633908963,79.23,-0.9913342541221953,1.6282120453398208,0.5663357936935024
7206,72,2022,228641,61.79,66.76,9697.0,1.0,3326.593,72.57744198577642,23.57852944209549,30.683972751985152,1542460235.8947842,2.9149944101968592,76.42,-0.9989415732241947,0.8113277527627947,0.17995079632831762
6503,65,2023,27470,7.84,69.2,9021.0,1.0,523.48,73.03793693455931,3.045116949340428,36.73360913424233,1400054676.8000002,17.232750057308778,75.84,-0.19202045171169846,2.1592854561083845,-1.7903445859999723
1709,17,2022,119814,97.89,68.47,6545.0,1.0,2504.164,61.59378697970727,18.306187929717343,49.04461534346829,92768135.14524698,2.6136467100397573,70.73,-1.0180455768772054,-1.0261343408937054,-0.996377226975634
5319,53,2023,290790,121.69,63.24,3938.0,1.0,3744.801,68.22360331409654,73.84205180294566,64.2243728349416,710439864.8492161,1.0515912594554424,70.43,-2.1283594476237466,-1.2406321674766776,1.346980323102113
9426,94,2023,37285,1.69,66.46,2304.0,1.0,643.584,74.60355139190472,16.182725694444443,127.40853912152774,2593801386.265695,3.579952267303103,70.0,-1.7308833376883614,2.040206848334406,0.844377707094265
6371,63,2023,678243,6888.51,78.5,42049.0,1.0,19084.875,77.60947158934177,16.129824728293183,11.50411722038574,1919950664.625,2.203263055168032,76.1,1.8008736870820392,1.7736312592256402,1.3124183325944583
1613,16,2022,192369,32.02,65.74,8549.0,1.0,2976.693,59.88463357811848,22.50193005029828,33.233324040706506,72732591.92934398,2.8719790720776377,72.52,-1.0909137704942447,-1.4069452393736668,-1.042435424387309
6206,62,2022,65457,17.1,68.94,5460.0,1.0,1020.348,72.51245657796399,11.988461538461538,60.009663916483504,1259497228.5984955,5.351115501769985,72.54,-0.9431739554951984,1.1318496298422118,-0.3947326554100875
9428,94,2022,38735,1.63,53.1,1973.0,1.0,685.251,66.6863062109216,19.632539280283837,75.8850942726812,1322937327.276,2.8792369511317752,71.56,-2.2329629582856985,-0.24488486833098766,0.015104373348352467
6112,61,2022,628558,89.98,68.91,35209.0,3.0,11293.416,72.36998030948759,17.852196881479166,9.293794369933822,1217604991.4180908,3.11765722612184,73.7,0.19551902816084352,0.2148495519042651,-0.8282763760216466
3205,32,2023,2649198,864.29,68.11,72229.0,1.0,40946.54,66.62109066526497,36.67776101012059,4.37442564248432,323543439.084544,1.7639829885504368,78.14,2.2264497907214933,-2.3851322293816213,1.5640480056597843
3313,33,2023,955116,1234.0,77.31,47204.0,1.0,18876.467,71.2694666139495,20.233793746292687,9.78877211446064,503193357.59229904,2.5006798147132088,73.19,1.1830865450461487,-0.05615331284837486,0.1856034851764416
1906,19,2022,130463,52.04,72.29,9785.0,1.0,1858.52,64.21624646172259,13.332958610117528,38.60769238518141,136377233.46602905,5.264941996857715,75.91,-0.5485374224524927,-0.3643614024820936,-1.3252043760613084
5304,53,2022,467732,118.92,62.73,8810.0,1.0,7323.390000000001,67.9255840445317,53.091032917139614,28.01882728910329,693390044.3833529,1.2029947879329106,71.82,-1.4111578115354522,-1.127999387504219,0.744451246106851
5201,52,2022,742074,704.11,69.41,16562.0,1.0,10533.61,71.28736576865822,44.8058205530733,20.190791910457676,904217317.759184,1.5723004743862738,68.27,-0.4494484631704738,-0.4052996256793902,0.8550449959348873
5306,53,2022,226307,200.76,63.22,5036.0,1.0,3220.28,68.19335759447846,44.9378474980143,50.17388765845909,709766036.378632,1.5638391692647844,70.67,-1.6573005681512358,-0.7449867866050762,0.48206243191751813
