id_kab,id_prov,year,total_area (km2),population,traffic_density,densities,green_open_space,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated,happiness_score,is_noise
1111,11,2022,3296.86,614640,1,186.43,0.25,70.22,28310,2,5080.06,70.79,True
1375,13,2022,25.24,122311,2,1137.27,1.29,81.42,10194,1,4570.75,71.25,True
1504,15,2022,4179.7,313200,1,74.93,0.25,70.51,24304,1,5080.06,75.15,True
1572,15,2022,391.5,99200,1,253.38,0.25,76.17,8679,1,1829.54,74.61,True
1607,16,2022,5246.0,852576,1,71.8,233.65453408340895,67.93,34443,2,5080.06,75.27,True
1610,16,2022,2382.0,422907,1,177.54,182.8991349487113,67.96,13251,1,5080.06,70.74,True
1803,18,2022,2219.46,1081115,1,487.11,233.65453408340895,69.0,51481,1,5080.06,73.57,True
2105,21,2022,590.14,49632,1,84.1,88.30680697804337,69.61,19909,1,630.84,75.48,True
3206,32,2022,2551.19,1322474,1,747.22,192.2674173156112,66.84,42660,1,5080.06,72.21,True
3327,33,2022,1115.0,1322474,1,1137.27,150.18,67.19,29915,1,5080.06,73.06,True
3515,35,2022,714.27,1322474,2,1137.27,0.38,81.02,54634,1,5080.06,75.08,True
3518,35,2022,1224.33,1117033,1,912.36,3.14,72.93,30820,3,5080.06,71.89,True
3575,35,2022,35.29,211497,2,1137.27,8.69,76.54,9453,1,5080.06,74.35,True
3576,35,2022,23.0,134350,2,1137.27,0.25,79.32,7637,1,2442.03,73.46,True
3601,36,2022,2746.0,1298850,1,473.0,233.65453408340895,65.84,32077,2,5080.06,68.32,True
3602,36,2022,3305.07,1322474,1,428.84,5.78,65.14,33475,2,5080.06,68.15,True
5201,52,2022,1053.92,742074,1,704.11,54.6607833352402,69.41,16562,1,5080.06,68.27,True
5321,53,2022,1109.16,188493,1,169.94,0.25,65.14,3144,1,3548.63021999271,69.41,True
6405,64,2022,5246.0,236325,1,6.92,20.19,75.74,54634,2,4980.19,72.74,True
